duration_ms,year,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
302333,1983,0.101,0.669,0.777,0.000655,0.0916,-7.354,0.0315,119.455,0.887,39
162533,1957,0.94,0.323,0.147,3.47e-05,0.114,-12.329,0.0343,78.359,0.206,11
195799,1943,0.994,0.578,0.193,0.726,0.185,-11.333,0.192,134.784,0.456,0
29507,1949,0.972,0.466,0.452,0.752,0.195,-14.697,0.0479,108.684,0.771,0
258400,1971,0.181,0.755,0.489,8.72e-06,0.0299,-12.21,0.0315,102.971,0.783,28
271933,2013,0.00424,0.519,0.971,6.26e-06,0.651,-3.403,0.0977,138.059,0.49,53
208600,1978,0.652,0.764,0.442,0.00286,0.0692,-17.311,0.0565,140.669,0.884,29
130200,1963,0.268,0.641,0.644,8.59e-06,0.0409,-9.851,0.034,139.033,0.965,24
164165,1995,0.124,0.681,0.888,1.46e-06,0.573,-4.635,0.0656,151.785,0.797,55
255307,2020,0.0701,0.881,0.697,9.57e-06,0.274,-8.374,0.132,124.037,0.726,1
174667,1963,0.508,0.582,0.674,9.36e-06,0.0664,-11.374,0.043,79.278,0.947,38
261760,2008,0.19,0.686,0.59,0.236,0.132,-8.743,0.0576,75.414,0.499,43
291387,1953,0.908,0.173,0.27,0.907,0.18,-8.258,0.032,73.52,0.146,0
204520,1962,0.875,0.211,0.257,5.34e-05,0.347,-15.27,0.0319,85.929,0.13,19
331067,1987,0.0195,0.697,0.879,4.61e-05,0.084,-4.833,0.15,128.07,0.75,32
109267,1927,0.994,0.611,0.168,0.839,0.177,-17.431,0.0924,113.604,0.533,0
32107,2009,0.431,0.566,0.82,0.0,0.127,-6.602,0.858,191.156,0.366,41
